私	I
あなた	you
私は～です	am
あなたは～です	are
～ではない	not
～しますか	Do
～しない	don't
はい	Yes
いいえ	No
好き	like
愛している(好きである)	love
スポーツをする	play
ほしい	want
～したい	want
持っている	have
飼う	have
見る	watch
加わる(参加する)	join
絵をかく	draw
呼ぶ	call
～と	and
しかし	but
～も	too
しばしば(よく)	often
～について	about
～出身	from
だから	so
それで	so
では	so
芸術(美術)	art
授業	lesson
ファン	fan
部	club
アニメ	anime
マンガ	manga
英語	English
数(数字)	number
甘い菓子	sweets
ペン	pen
友達	friend
テレビ	TV
牛乳	milk
ピザ	pizza
タマネギ	onion
ニンジン	carrot
リンゴ	apple
オレンジ	orange
ネコ	cat
イヌ	dog
ウサギ	rabbit
帽子	cap
野球	baseball
サッカー	soccer
テニス	tennis
ラグビー	rugby
体育	P.E.
京都	Kyoto
東京	Tokyo
名古屋	Nagoya
福岡	Fukuoka
沖縄	Okinawa
北海道	Hokkaido
青森	Aomori
南アフリカ共和国	South Africa
日本の	Japanese
日本人	Japanese
13	thirteen
みなさん(全員)	everyone
こんにちは	Hello
よい(素敵な)	nice
会う	meet
市	city
傘	umbrella
私を	me
