私	I
あなた	you
彼	he
彼女	she
それ	it
私たち	we
彼ら	they
これ	this
あれ	that
これら	these
あれら	those
私の	my
あなたの	your
彼の	his
彼女の(所有格)	her
私たちの	our
彼らの	their
私を	me
あなたを	you
彼を	him
彼女を(目的格)	her
私たちを	us
彼らを	them
誰	who
何	what
どこ	where
いつ	when
なぜ	why
どのように	how
どの	which
誰の	whose
はい	yes
いいえ	no
ありがとう	thank you
どういたしまして	you're welcome
すみません	excuse me
ごめんなさい	sorry
こんにちは	hello
やあ	hi
さようなら	goodbye
おはよう	good morning
こんばんは	good evening
おやすみ	good night
お元気ですか	how are you
良い	good
素晴らしい	great
わかった	I see
お願いします	please
1	one
2	two
3	three
4	four
5	five
6	six
7	seven
8	eight
9	nine
10	ten
11	eleven
12	twelve
13	thirteen
14	fourteen
15	fifteen
16	sixteen
17	seventeen
18	eighteen
19	nineteen
20	twenty
30	thirty
40	forty
50	fifty
60	sixty
70	seventy
80	eighty
90	ninety
100	one hundred
1000	one thousand
1番目	first
2番目(順序)	second
秒	second
3番目	third
4番目	fourth
5番目	fifth
日曜日	Sunday
月曜日	Monday
火曜日	Tuesday
水曜日	Wednesday
木曜日	Thursday
金曜日	Friday
土曜日	Saturday
1月	January
2月	February
3月	March
4月	April
5月	May
6月	June
7月	July
8月	August
9月	September
10月	October
11月	November
12月	December
春	spring
夏	summer
秋	fall
冬	winter
朝	morning
午後	afternoon
夕方	evening
夜	night
今日	today
明日	tomorrow
昨日	yesterday
今	now
時間	time
分	minute
時(1時間)	hour
日(1日)	day
週	week
月(暦の月)	month
年	year
家族	family
父	father
母	mother
兄(年上の男兄弟)	brother
弟(年下の男兄弟)	brother
姉(年上の女姉妹)	sister
妹(年下の女姉妹)	sister
息子	son
娘	daughter
祖父	grandfather
祖母	grandmother
おじ	uncle
おば	aunt
いとこ	cousin
両親	parents
子供	child
赤ちゃん	baby
友達	friend
頭	head
顔	face
目	eye
耳	ear
鼻	nose
口	mouth
歯	tooth
舌	tongue
首	neck
肩	shoulder
腕	arm
手	hand
指	finger
脚	leg
足	foot
体	body
髪	hair
心	heart
赤	red
青	blue
黄色	yellow
緑	green
白	white
黒	black
茶色	brown
ピンク	pink
紫	purple
オレンジ(色)	orange
灰色	gray
学校	school
教室	classroom
机	desk
椅子	chair
黒板	blackboard
本(書物)	book
ノート	notebook
鉛筆	pencil
ペン	pen
消しゴム	eraser
定規	ruler
かばん	bag
辞書	dictionary
紙	paper
教科書	textbook
先生	teacher
生徒	student
クラス	class
宿題	homework
テスト	test
質問	question
答え(名詞)	answer
英語	English
数学	math
理科	science
社会	social studies
国語	Japanese
音楽	music
体育	P.E.
美術	art
歴史	history
地理	geography
科目	subject
家	house
部屋	room
台所	kitchen
寝室	bedroom
浴室	bathroom
リビング	living room
庭	garden
ドア	door
窓	window
壁	wall
床	floor
天井	ceiling
ベッド	bed
テーブル	table
ソファ	sofa
テレビ	TV
冷蔵庫	refrigerator
電話	phone
コンピューター	computer
時計(置き時計)	clock
鏡	mirror
町	town
市	city
国	country
通り	street
道	road
公園	park
駅	station
病院	hospital
店	store
レストラン	restaurant
図書館	library
博物館	museum
銀行	bank
郵便局	post office
警察署	police station
空港	airport
ホテル	hotel
映画館	movie theater
寺	temple
神社	shrine
教会	church
山	mountain
川	river
海	sea
湖	lake
森	forest
空	sky
太陽	sun
月(天体)	moon
星	star
雲	cloud
雨	rain
雪	snow
風	wind
天気	weather
食べ物	food
水	water
お茶	tea
コーヒー	coffee
牛乳	milk
ジュース	juice
パン	bread
米	rice
卵	egg
肉	meat
魚(食材)	fish
果物	fruit
野菜	vegetable
りんご	apple
バナナ	banana
オレンジ(果物)	orange
ぶどう	grape
いちご	strawberry
桃	peach
すいか	watermelon
トマト	tomato
じゃがいも	potato
にんじん	carrot
玉ねぎ	onion
ケーキ	cake
チョコレート	chocolate
アイスクリーム	ice cream
キャンディー	candy
ピザ	pizza
ハンバーガー	hamburger
サンドイッチ	sandwich
スープ	soup
サラダ	salad
朝食	breakfast
昼食	lunch
夕食	dinner
動物	animal
犬	dog
猫	cat
鳥	bird
魚(生き物)	fish
